Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1993,Jind,78.86,197.62,2505.9,203.84,754.78,3702.73,3.22,1,310.75,3.22,1,310.75,37.52,44.8,1194.03,0.07,0.18,2500,1.85,6,3236.25,14.24,13.18,925.3,5.09,6.02,1183.96,0.71,0.73,1025.42,0,0,0,0.34,0.12,351.19,21.84,23.9,1094.12,23.11,25.22,1091.29,6.18,33.62,5441.89,56.5,15.58,275.69,1.37,1.54,2.92,0.27,0.1,0
1994,Jind,86.85,233.48,2688.31,205.61,766.5,3727.9,0.87,1,1146.79,0.87,1,1146.79,40.52,61.16,1509.3,0.05,0,0,2.05,5,2434.27,14.16,15.18,1071.88,4.78,4.82,1007.53,0.11,0.61,5629.63,0,0,0,0.32,0.12,371.07,21.61,21.54,996.67,22.77,22.74,998.77,7.97,49.88,6260.04,53.63,17.85,332.76,1.26,2.33,3.58,0.94,0.15,0
1995,Jind,97.56,183.2,1877.82,201.5,744.72,3695.95,0.99,0,0,0.99,0,0,38.71,25.72,664.39,0.07,0.36,5000,1.74,5,2880.18,7.38,7.18,972.9,0,0,0,0,0,0,0,0,0,0.32,0.1,314.47,13.17,15.72,1193.98,14.03,16.7,1190.36,10.97,52.78,4813.06,68.66,9.33,135.93,1.17,2.44,3.6,0.74,0.15,0
1996,Jind,96.59,288.02,2981.88,206.8,797.48,3856.21,3.25,1,307.31,3.25,1,307.31,37.33,57.62,1543.45,0.09,0.36,4000,1.62,5,3090.23,11.31,8.18,723.38,0,0,0,0,0,0,0,0,0,0.22,0,0,18.39,22.72,1235.19,19.69,24.32,1235.19,13.09,71.66,5475.24,67.11,19.11,284.84,1.43,2.65,4.08,0.92,0.26,0
1997,Jind,107.62,302.12,2807.34,203.84,733.6,3598.97,2.61,1,383.44,2.61,1,383.44,40.43,57.98,1434.23,1.33,2.36,1779.79,1.72,5,2910.36,9.79,7.18,733.4,0.14,0,0,0.55,0,0,0,0,0,0.22,0,0,17.19,9.36,544.63,18.5,10.71,579.26,9.97,50.5,5064.18,60.64,17.52,288.99,1.18,1.85,3.02,0.12,0.02,0
1998,Jind,140.16,292.82,2089.18,209.62,853.52,4071.75,3,0,0,3,0,0,37.72,57.9,1534.99,0,0,0,2,6,3000,7,5,714.29,0,0,0,0,0,0,0,0,0,0,0,0,8.54,8.54,1000,10.26,10.44,1017.54,5.72,29.6,5174.83,46.18,11.42,247.31,1,2.04,3.04,0.11,0.07,49.05
1999,Jind,145.82,270.52,1855.14,234.58,998.24,4255.4,2.3,1,434.78,2.3,1,434.78,35.25,47.9,1359.02,0.02,0,0,0.6,3,5000,2.04,1,491.16,0.14,0.15,1132.35,0.14,0.15,1132.35,0,0,0,0.22,0.1,458.72,6.09,6.36,1044.68,6.43,6.62,1029.54,6.94,34.96,5038.92,36.86,14,379.83,1.01,1.93,2.95,0.06,0.05,49.67
2000,Jind,141.16,292.38,2071.33,234.11,1014.84,4334.85,1.44,0,0,1.44,0,0,41.27,64.9,1572.49,0.04,0,0,1.62,5,3090.23,0.85,1,1170.96,0.1,0.1,1000,0.14,0.15,1132.35,0,0,0,0.2,0,0,4.44,5.36,1206.66,4.71,5.47,1159.95,7.93,43.22,5451.56,39.04,13.15,336.83,0.95,2.4,3.35,0.04,0.03,49.7
2001,Jind,133.26,294.36,2208.88,237.17,1015.42,4281.47,1.42,0,0,1.42,0,0,39.8,54.62,1372.43,0.04,0,0,1.52,5,3293.81,0.89,1,1123.6,0.1,0.1,1000,0.15,0.17,1116.88,0,0,0,0.22,0.1,458.72,6.49,9.54,1470.41,6.74,9.71,1440.52,9.74,55.22,5671.73,47,13.12,279.17,1.1,2.28,3.39,0.04,0.02,50.25
2002,Jind,99.94,209.92,2100.54,234.25,990.36,4227.75,0.8,0,0,0.8,0,0,42.45,44.62,1051.22,0.02,0,0,0.9,3,3333.33,0.65,1,1529.05,1.12,1.12,1000,0.25,0.17,677.17,0,0,0,0.92,0.2,217.86,11.02,13.54,1228.23,11.96,13.76,1150.33,12.76,66.04,5173.93,38.03,8.39,220.62,1.04,2.17,3.19,0.05,0.03,48.9
2003,Jind,119.32,287.84,2412.26,238.15,948.96,3984.75,0.4,0,0,0.4,0,0,47.96,86.52,1803.93,0.52,2,3861,0.8,3,3750,0.65,1,1529.05,0.7,0.72,1025.71,0.15,0.17,1116.88,0,0,0,0.42,0.1,239.23,10.03,16.36,1630.46,10.45,16.48,1576.54,9.91,55.88,5637.61,43.51,19.02,437.25,1.05,2,3.05,0.04,0.03,51.95
2004,Jind,118.37,272.82,2304.9,238.27,987.88,4146.11,0.58,0,0,0.58,0,0,47.76,70.06,1466.94,0.02,0,0,0.86,3,3507.13,0.47,0,0,0.9,0.9,1005.14,0.13,0.14,1057.54,0,0,0,0.38,0.1,260.15,12.69,16.18,1274.62,13.08,16.3,1246.02,6.13,39.16,6390.76,50.44,25.47,504.88,1.04,2.19,3.23,0.04,0.02,50.73
2005,Jind,123.81,343.86,2777.36,235.72,950.68,4033.06,0.2,0,0,0.2,0,0,48.92,92.14,1883.33,0.02,0,0,0.82,3,3667.48,0.73,1,1377.41,0.81,0.7,869.13,0.27,0.24,875.37,0,0,0,0.32,0.02,56.6,16.24,11.18,688.25,16.54,11.2,676.87,4.01,28.8,7174.89,50.42,22.21,440.41,1.05,1.84,2.88,0.04,0,51.06
2006,Jind,120.81,333.14,2757.6,244.21,1032.36,4227.41,0.1,0,0,0.1,0,0,56.34,113.86,2020.94,0.02,0,0,1.1,2,1818.18,0.54,1,1865.67,1.02,0.9,879.25,0.13,0.15,1180.98,0,0,0,0.24,0.12,500,6.04,7.18,1187.95,6.28,7.3,1162.1,5.55,46.86,8442.88,46.36,23.53,507.68,1.05,2,3.05,0.04,0,49.41
2007,Jind,122.68,341.34,2782.41,244.56,1031.24,4216.75,0.1,0,0,0.1,0,0,58.22,138.28,2375.13,0,0,0,0.9,3,3333.33,0.54,0,0,1.25,1.4,1116.78,0.08,0.04,436.89,0,0,0,0.34,0.12,351.19,5.33,6.18,1160.35,5.66,6.3,1112.33,5.91,35.42,5991.2,44.73,28.26,631.86,1.08,2.04,3.12,0.04,0,49.69
2008,Jind,135.03,320.38,2372.59,246.14,1179.76,4793.01,0.3,0,0,0.3,0,0,55.53,107.58,1937.33,0.02,0,0,1,3,3000,0.42,0,0,1.28,1.45,1132.22,0.07,0.05,773.64,0,0,0,0.22,0.1,458.72,6.01,9.36,1557.92,6.23,9.46,1519.43,2.41,14.16,5883.62,45.55,26.38,579.08,1,1.85,2.85,0.04,0,39.88
2009,Jind,136.79,379.16,2771.76,246.11,1072.96,4359.75,0,0,0,0,0,0,46.86,82.6,1762.62,0,0,0,0.9,3,3333.33,0.22,0,0,1.08,1.1,1018.52,0.09,0.09,978.26,0,0,0,0.1,0,0,5.23,8,1530.81,5.33,8,1502.07,1.72,10.25,5952.38,46.63,24.34,521.92,0.94,1.81,2.75,0.04,0,44.76
2010,Jind,142.47,362.48,2544.33,247.77,1132.3,4570,0,0,0,0,0,0,44.86,91.52,2040.31,0,0,0,0.6,3,5000,0.22,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,5.03,9.36,1862.32,5.14,9.36,1819.6,2.46,16.7,6788.62,48.07,27.36,569.12,0.96,1.49,2.46,0.35,0.01,2.02
2011,Jind,143.4,379.98,2649.75,247.76,1305.74,5270.22,0,0,0,0,0,0,29.34,60.7,2068.57,0,0,0,0.6,4,6666.67,0.12,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,4.54,7.18,1580.11,4.64,7.18,1546.08,3.37,24.88,7387.17,64.53,44.48,689.33,0.91,1.2,2.09,0.3,0.04,8.76
2012,Jind,143.25,410.16,2863.19,246.99,1067.08,4320.27,0.08,0,0,0.08,0,0,23.51,49.34,2099.02,0,0,0,0.56,4,7119.97,0.09,0,0,0.07,0.07,1000,0.14,0.33,2347.08,0,0,0,0.06,0.02,352.75,4.74,8.36,1764.98,4.76,8.36,1755.56,4.02,25.78,6410.56,68.61,42.92,625.57,0.67,1.46,2.14,0.36,0.09,13.96
2013,Jind,148.44,417.6,2813.26,248.32,1137.84,4582.15,0,0,0,0,0,0,15.72,35.8,2277.35,0,0,0,1,3,3000,0,0,0,0,0,0,0.14,0.07,500,0,0,0,0.1,0,0,4.18,7.36,1760.77,4.34,7.36,1694.29,4.72,37.85,8018.64,74.98,40.71,542.92,0.56,1.35,1.91,0.25,0.05,23.02
2014,Jind,151.98,423.6,2787.21,250.5,932.92,3724.23,0,0,0,0,0,0,11.36,22.9,2015.85,0,0,0,1,2,2000,0,0,0,0,0,0,0.02,0.02,1000,0,0,0,0,0,0,3.18,3.18,1000,3.53,3.18,901.87,4.54,30.95,6817.62,77.8,37.39,480.59,1.02,1.15,2.16,0.36,0.05,2.29
2015,Jind,158.14,401.2,2536.96,248.3,1089.46,4387.64,0,0,0,0,0,0,12.45,22.72,1824.9,0,0,0,1,3,3000,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.1,0,4.13,7.36,1783.81,4.13,7.46,1808.05,0,0,0,73.91,13.95,188.8,1.03,1.2,2.23,0.22,0.08,35.77
2016,Jind,164.16,448.36,2731.24,248.14,1210.98,4880.23,0,0,0,0,0,0,19.54,35.08,1795.29,0,0,0,0,0,0,0,0,0,0,0,0,0.19,2.15,11326.32,0,0,0,0,0.1,0,4.18,8.18,1956.94,4.18,8.28,1980.86,5.72,44.84,7839.16,60.44,32.08,530.83,0,0,0,0,0,0
2017,Jind,165.65,491.38,2966.34,247.65,1241.38,5012.68,0,0,0,0,0,0,14.35,25.08,1747.74,0,0,0,0.3,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,5.06,10.54,2082.18,5.16,10.54,2041.84,0,0,0,63.9,31.85,498.51,0,0,0,0,0,0
1966,Mahendragarh / Narnaul,0,0,0,7.8,14,1794.87,11,1,90.91,11,1,90.91,192.7,78,404.77,0,0,0,14,18,1285.71,87,18,206.9,0,0,0,3.82,-1,-1,0,0,0,0,0,0,15,4,266.67,15.02,-1,-1,2.3,7,3043.48,0.3,0,0,0.11,0.98,1.08,0,0.14,34.64
1967,Mahendragarh / Narnaul,0,0,0,10.6,16,1509.43,11.6,2,172.41,11.6,2,172.41,172.2,43,249.71,0,0,0,53,43,811.32,132,129,977.27,0,0,0,14.46,-1,-1,0,0,0,0,0,0,22,5,227.27,23.18,-1,-1,2,8,4000,0.5,0.1,200,0.02,0.73,0.75,0,0.06,48.68
1968,Mahendragarh / Narnaul,0,0,0,11.4,22,1929.82,10.3,1,97.09,10.3,1,97.09,209.7,23,109.68,0,0,0,17,21,1235.29,128,116,906.25,0,0,0,3.14,-1,-1,0,0,0,0,0,0,3,2,666.67,2.85,-1,-1,3,13,4333.33,0,0,0,0.07,0.98,1.05,0,0.12,33.28
1969,Mahendragarh / Narnaul,0,0,0,15.8,34,2151.9,10.1,2,198.02,10.1,2,198.02,194,59,304.12,0,0,0,17.6,24,1363.64,126.6,119,939.97,0,0,0,9.37,4,426.89,0,0,0,0,0,0,7,4,571.43,6.93,4.9,707.07,2.3,9,3913.04,0,0,0,0.07,0.83,0.9,0,0.12,42.29
1970,Mahendragarh / Narnaul,0,0,0,21.9,39,1780.82,10.4,3,288.46,10.4,3,288.46,184.8,116,627.71,0,0,0,10,11,1100,138.8,61,439.48,0,0,0,8.91,-1,-1,0,0,0,0,0,0,9.9,7,707.07,9.96,-1,-1,2,9,4500,0,0,0,0.03,0.61,0.64,0,0.11,53.57
1971,Mahendragarh / Narnaul,0,0,0,25.2,56,2222.22,6.7,2,298.51,6.7,2,298.51,191.2,116,606.69,0,0,0,10,14,1400,163.6,51,311.74,0,0,0,2.79,-1,-1,0,0,0,0,0,0,22.6,12,530.97,22.64,-1,-1,1.3,4,3076.92,0,0,0,0.01,0.65,0.67,0.01,0.08,36.07
1972,Mahendragarh / Narnaul,0,0,0,50.7,93.9,1852.07,8,1,125,8,1,125,217.6,45,206.8,0,0,0,32,54,1687.5,157.4,45,285.9,0,0,0,3.13,0,-1,0.1,0,0,0.1,0,0,34.2,18.5,540.94,34.26,18.5,539.99,1.2,5.2,4333.33,2.5,0.7,280,0.2,1.81,2.01,0.01,0.1,50.97
1973,Mahendragarh / Narnaul,0,0,0,43.8,79.9,1824.2,7.9,1.6,202.53,7.9,1.6,202.53,230.8,169.2,733.1,0,0,0,29,46,1586.21,162.1,52.4,323.26,0,0,0,5.33,-1,-1,0,0,0,0.1,0,0,29.7,8.6,289.56,29.85,-1,-1,1.5,5.2,3466.67,2.7,0.8,296.3,0.17,1.29,1.46,0.03,0.11,48.16
1974,Mahendragarh / Narnaul,0,0,0,41.4,73.3,1770.53,6.3,1.3,206.35,6.3,1.3,206.35,207.6,24.4,117.53,0,0,0,36,56,1555.56,132.7,46.5,350.41,0.2,0,0,5.49,-1,-1,0.2,0.3,1500,0.1,0,0,41.2,33.9,822.82,41.52,-1,-1,1.5,4.4,2933.33,2.6,0.8,307.69,0.18,1.63,1.8,0.01,0.09,58.84
1975,Mahendragarh / Narnaul,0,0,0,47.6,97,2037.82,5.8,1.6,275.86,5.8,1.6,275.86,218.5,126.7,579.86,0,0,0,29,48,1655.17,201.6,141.6,702.38,0.1,0,0,7.16,-1,-1,0.1,0.1,1000,0.1,0,0,18.3,9.2,502.73,18.81,-1,-1,1.5,5.8,3866.67,2.9,1,344.83,0.15,1.22,1.35,0.04,0.06,58.04
1976,Mahendragarh / Narnaul,0.1,0,0,63.1,133.3,2112.52,6.2,1.6,258.06,6.2,1.6,258.06,211.9,125.3,591.32,0,0,0,20,38,1900,168.3,103.3,613.78,0,0,0,7.75,4.2,541.94,0.2,0.3,1500,0.1,0,0,17.8,13.2,741.57,18.04,12.1,670.73,1.7,8.4,4941.18,3.2,1.2,375,0.17,1.06,1.23,0.01,0.03,51.43
1977,Mahendragarh / Narnaul,0,0,0,61.2,131.2,2143.79,6.1,1,163.93,6.1,1,163.93,210.2,15.5,73.74,0,0,0,20,36,1800,202,157.5,779.7,0,0,0,3.83,2.4,626.63,0,0.3,0,0.1,0.1,1000,31.4,14,445.86,31.87,-1,-1,2,5.5,2750,3.1,1,322.58,0.13,1.81,1.93,0.01,0.06,39.83
1978,Mahendragarh / Narnaul,0.1,0,0,77.8,214.1,2751.93,4.4,0,0,4.4,0,0,204.6,51,249.27,0,0,0,20,44,2200,180.3,184.9,1025.51,0,0,0,1.49,1.1,738.26,0.6,0,0,0.1,0,0,18.3,14.2,775.96,18.9,-1,-1,2,7,3500,3.4,0.8,235.29,0.2,1.32,1.53,0.04,0.07,65.55
1979,Mahendragarh / Narnaul,0.1,0,0,84.3,169.3,2008.3,5.2,1.3,250,5.2,1.3,250,230.7,36.6,158.65,0,0,0,20.6,35.6,1728.16,60.1,17.7,294.51,0,0,0,0.8,-1,-1,0,0,0,0.1,0,0,14.2,6.6,464.79,16.74,-1,-1,1.5,2,1333.33,4.4,1,227.27,0.12,1.3,1.42,0.02,0.1,49.5
1980,Mahendragarh / Narnaul,0.1,0,0,78.5,188.7,2403.82,6.5,1.6,246.15,6.5,1.6,246.15,237,85.6,361.18,0,0,0,41.9,89.5,2136.04,84.3,47.7,565.84,0,0,0,1.1,0,0,0.1,0.1,1000,0,0,0,33.5,22.7,677.61,41.35,28.3,684.4,0.8,0,0,3.8,1.1,289.47,0.11,1.38,1.49,0.04,0.04,70.81
1981,Mahendragarh / Narnaul,0.1,0,0,79.1,181.8,2298.36,5.7,1.3,228.07,5.7,1.3,228.07,227.5,83.2,365.71,0,0,0,26.7,51,1910.11,142.8,53.8,376.75,0,0,0,2.15,-1,-1,0.1,0.1,1000,0.1,0.1,1000,33.5,22.7,677.61,36.88,32.7,886.66,1.2,4.6,3833.33,4.9,1.4,285.71,0.24,1.61,1.86,0.01,0.09,77.04
1982,Mahendragarh / Narnaul,0,0,0,100.3,244.3,2435.69,6.5,1.3,200,6.5,1.3,200,207,73.1,353.14,0,0,0,14.9,33.9,2275.17,78.7,29,368.49,0.1,0,0,1.6,-1,-1,0.1,0.1,1000,0,0,0,33.5,22.7,677.61,33.95,-1,-1,0.9,1.7,1888.89,6.7,2,298.51,0.07,1.64,1.71,0.01,0.04,90.01
1983,Mahendragarh / Narnaul,0,0,0,93.6,200.1,2137.82,5.2,1.3,250,5.2,1.3,250,213.8,147.4,689.43,0,0,0,13.9,21.9,1575.54,129.7,50.9,392.44,0.1,0,0,2.11,-1,-1,0.1,0.1,1000,0.2,0.1,500,46.9,30.6,652.45,47.11,-1,-1,0.6,2.3,3833.33,7.8,1.7,217.95,0.14,1.43,1.57,0.02,0.03,76.52
1984,Mahendragarh / Narnaul,0.3,0.6,2000,74.8,166.2,2221.93,5.5,1.3,236.36,5.5,1.3,236.36,197.5,98,496.2,0,0,0,13.6,25.6,1882.35,117.9,48.4,410.52,0.7,0.1,142.86,0.95,-1,-1,0.1,0.1,1000,0.1,0.1,1000,61.3,61.4,1001.63,61.97,-1,-1,0.3,1.2,4000,6.1,1.8,295.08,0.22,1.56,1.78,0.01,0.1,81.06
1985,Mahendragarh / Narnaul,0.3,0.9,3000,71.1,206.2,2900.14,7.5,1.3,173.33,7.5,1.3,173.33,205.7,61.2,297.52,1,1,1000,18.9,40.5,2142.86,172.5,120.5,698.55,0.5,0.3,600,0.71,0.77,-1,0.1,0.1,1000,0.2,0.1,500,57.3,53.5,933.68,57.99,53.7,925.99,0.3,1.2,4000,6.1,1.9,311.48,0.18,1.5,1.69,0.01,0.06,69.54
1986,Mahendragarh / Narnaul,0,0,0,81.1,229.5,2829.84,8.7,2.3,264.37,8.7,2.3,264.37,239.9,49.5,206.34,0,0,0,12.9,28.2,2186.05,109.7,54.3,494.99,0.4,0.3,750,0.76,-1,-1,0.1,0.1,1000,0.2,0.2,1000,63.3,55.5,876.78,63.32,-1,-1,0.3,1.5,5000,6.7,2.2,328.36,0.18,1.5,1.69,0,0.05,54.01
1987,Mahendragarh / Narnaul,0,0,0,87.7,254,2896.24,5.7,0,0,5.7,0,0,142.3,12.8,89.95,0,0,0,12.5,27.3,2184,28.1,8.8,313.17,0.6,0.3,500,0.84,-1,-1,0,0,0,0.1,0,0,75.1,79.5,1058.59,75.29,-1,-1,0.6,0.3,500,7.8,0.9,115.38,0.18,1.57,1.75,0,0.08,29.71
1988,Mahendragarh / Narnaul,0,0,0,86.1,294.6,3421.6,6.2,1.3,209.68,6.2,1.3,209.68,247,338.3,1369.64,0,0,0,11.5,30.1,2617.39,151.1,117.7,778.95,0.5,0.3,600,3.3,1.07,324.24,0,0,0,0.1,0,0,84.2,114.4,1358.67,84.31,115.09,1365.08,0.3,1.2,4000,7.5,2.3,306.67,0.16,1.53,1.69,0.03,0.1,66.61
1989,Mahendragarh / Narnaul,0,0,0,125.9,406.3,3227.16,7.6,2.1,276.32,7.6,2.1,276.32,246.8,151,611.83,0,0,0,10.3,26,2524.27,106,76,716.98,1,0.6,600,2.95,0.71,240.68,0,0,0,0.2,0,0,103.1,113.9,1104.75,103.19,112.38,1089.06,0.3,1,3333.33,8.4,3.3,392.86,0.15,1.47,1.62,0.02,0.07,-1
1990,Mahendragarh / Narnaul,0,0,0,80.19,290.41,3621.61,5.37,2.9,539.53,5.37,2.9,539.53,194.41,155.19,798.27,0.03,0,0,8.22,21.53,2618.58,141.65,103.57,731.17,1.28,0.61,477.27,1.43,0.62,434.66,0,0,0,0.41,0.15,357.14,118.48,172.67,1457.4,118.88,172.81,1453.64,0.32,0.87,2727.27,8.54,3.16,369.5,0.15,1.6,1.75,0.01,0.05,0
1991,Mahendragarh / Narnaul,0,0,0,87.58,319.5,3647.89,3.84,1.16,302,3.84,1.16,302,190.54,76.59,401.97,0.03,0,0,10.28,28.56,2778.48,43.83,30.46,694.97,1.33,0.78,586.96,0.71,0.2,286.32,0,0,0,0.38,0.12,307.69,164.9,192.35,1166.47,165.36,192.55,1164.43,0.35,1.45,4166.67,7.61,3.3,433.99,0.2,1.4,1.6,0.01,0.06,0
1992,Mahendragarh / Narnaul,0,0,0,97.94,357.34,3648.6,3.2,1.45,452.7,3.2,1.45,452.7,200.95,208.07,1035.45,0.03,0,0,7.71,19.66,2548.94,66.46,44.45,668.79,1.02,0.73,714.29,0.27,0.06,211.68,0,0,0,0.23,0.03,125,164.96,159.01,963.95,165.29,159.14,962.8,0.2,0.87,4285.71,7.96,2.91,365.6,0.22,1.39,1.61,0,0.1,0
1993,Mahendragarh / Narnaul,0.15,0,0,96.32,358.44,3721.54,2.26,1.16,512.82,2.26,1.16,512.82,160.16,67.8,423.32,0,0,0,5.4,15.86,2937.58,75.78,72.3,954.12,1.12,0.61,546.19,0.35,0.09,250,0.09,0.09,1000,0.32,0.12,363.64,161.49,237.48,1470.51,162,237.68,1467.17,0.14,0,0,11.96,3.72,310.95,0.15,1.42,1.57,0.01,0.02,0
1994,Mahendragarh / Narnaul,0.06,0,0,95.27,364.43,3825.23,3.25,1.45,446.43,3.25,1.45,446.43,192.45,251.91,1308.98,0,0,0,7.63,23.53,3084.28,75.38,82.36,1092.55,1.45,0.59,409.81,0,0.17,0,0.17,0.19,1074.71,0.23,0.12,500,165.79,254.27,1533.69,166.35,254.57,1530.31,0.38,1.74,4615.38,11.39,4.26,373.76,0.17,1.24,1.41,0,0.08,0
1995,Mahendragarh / Narnaul,0.12,0,0,89.32,346.86,3883.43,2.62,0,0,2.62,0,0,173.91,128.58,739.35,0,0,0,4.71,12.86,2729.2,65.84,67.01,1017.75,0,0,0,0,0,0,0,0,0,0.09,0.09,1000,183.84,241.67,1314.59,184.23,241.67,1311.81,0.49,2.9,5882.35,28.88,5.23,181.21,0.14,0.63,0.77,0,0.04,0
1996,Mahendragarh / Narnaul,0.17,0,0,98.89,393.76,3981.84,3.38,1.16,343.5,3.38,1.16,343.5,188.09,209.63,1114.52,0,0,0,3.22,9.96,3090.29,69.35,54.6,787.36,0,0,0,0,0,0,0,0,0,0.15,0,0,189.7,299.37,1578.1,189.95,299.37,1576.06,0.61,2.32,3809.52,33.89,12.92,381.1,0.12,1.03,1.15,0.01,0.05,0
1997,Mahendragarh / Narnaul,0.46,0.87,1875,106.01,412.86,3894.61,3.04,1.45,476.19,3.04,1.45,476.19,189.19,207.48,1096.68,0.03,0,0,4.14,10.25,2474.65,79.85,78.82,987.09,2.85,2.19,767.26,2.19,0.84,384.37,0.19,0.19,1000,0.15,0.03,200,172.85,101.35,586.36,173.39,101.57,585.75,0.44,1.45,3333.33,24.96,6.5,260.57,0.15,1.21,1.37,0,0.11,0
1998,Mahendragarh / Narnaul,2.9,6.38,2200,120.4,472.52,3924.58,3.19,0.29,90.91,3.19,0.29,90.91,202.72,196.48,969.22,0,0,0,3.9,11.41,2925.64,82.81,62.63,756.31,0.58,0.29,500,1.74,0.29,166.67,0,0,0,0.87,0,0,160.97,233.03,1447.66,160.97,233.03,1447.66,0.58,2.9,5000,25.56,6.59,257.66,0.17,1.93,2.09,0.04,0.09,44.1
1999,Mahendragarh / Narnaul,3.07,6.67,2169.81,136.11,521.77,3833.47,2.47,1.16,470.59,2.47,1.16,470.59,198.8,186.09,936.08,0,0,0,3.81,12.86,3372.67,22.82,12.41,543.94,0.64,0.17,274.02,0.64,0.09,136.36,0,0,0,0.32,0.09,272.73,171.34,247.55,1444.8,171.66,247.64,1442.62,0.23,1.45,6250,20.93,7.65,365.37,0.15,1.54,1.7,0.01,0.1,52.12
2000,Mahendragarh / Narnaul,2.96,8.41,2843.14,138.64,517.82,3735.1,1.62,0,0,1.62,0,0,204,206.57,1012.59,0.03,0,0,6.42,18.66,2907.9,35.25,23.95,679.37,0.36,0.16,437.67,0.23,0.03,125,0,0,0,0.32,0,0,157.3,216.67,1377.47,157.62,216.67,1374.68,0.32,1.45,4545.45,16.67,6.45,387.18,0.15,1.27,1.42,0,0.09,63.43
2001,Mahendragarh / Narnaul,2.75,8.7,3157.89,121.43,453.44,3734.17,2.32,0.29,125,2.32,0.29,125,206.29,303.64,1471.89,0,0,0,3.81,9.09,2387.71,38.49,31.88,828.22,0.29,0.09,300,1,0.12,116.12,0.1,0.1,1000,0.49,0.09,176.47,188.57,277.38,1470.94,189.17,277.57,1467.32,0.44,1.45,3333.33,22.03,5.24,237.76,0.15,2,2.16,0.35,0.05,66.58
2002,Mahendragarh / Narnaul,2.15,5.51,2567.57,123,461.85,3754.85,3.35,0.29,86.62,3.35,0.29,86.62,141.95,105.84,745.63,0,0,0,4.42,12.86,2908.19,15.17,10.64,701.29,1.56,2.44,1558.54,3.27,0.17,53.19,0.39,0.2,516.8,0.72,0.12,160,170.19,199.38,1171.49,171.31,199.7,1165.73,0.84,4.35,5172.41,24.19,5.43,224.68,0.17,2.25,2.42,0.01,0.06,63.12
2003,Mahendragarh / Narnaul,3.39,9.28,2735.04,123.77,473.63,3826.85,2.91,1.16,398.21,2.91,1.16,398.21,215.15,371.34,1725.93,0.03,0,0,3.25,9.09,2795.2,36.19,30.63,846.3,1.35,0.32,236.82,2.94,0.27,93.23,0.32,0.19,591.77,0.23,0,0,193.1,317.51,1644.29,193.68,317.7,1640.35,0.75,4.64,6153.85,27.09,10.8,398.65,0.11,1.96,2.08,0,0.11,63.54
2004,Mahendragarh / Narnaul,3.73,6.67,1789.88,116.32,436.17,3749.86,2.96,0.29,98.07,2.96,0.29,98.07,181.57,224.38,1235.8,0.01,0,0,1.67,2.61,1560.54,25.4,20.53,808.34,0.17,0.15,833.33,3.5,0.77,219.01,0.75,0.5,674.17,0.3,0.03,97.61,214.8,185.12,861.84,215.83,263.95,1222.99,0.42,1.45,3424.66,41.65,17.6,422.58,0.25,1.66,1.91,0,0.02,74.25
